id,id_viaje,moneda,tipo_cambio
A015691,V143,Yen Japones,68408
A013860-1,V121,Dolar Americano,978.2
A010538,V097,Euro,922.55
A008324,V082,Dolar Americano,732.6
A013908,V122,Yen Japones,61716
A005095,V057,Yen Japones,60896
A015667,V143,Yen Japones,67562
A013776,V116,Yen Japones,61984
A015645,V143,Yen Japones,67595
A005398,V062,Dolar Americano,677.15
A013345,V128,Euro,1024.05
A015669,V143,Yen Japones,67562
A014104,V116,Yen Japones,61354
A014001,V131,Dolar Americano,948.83
A009455,V086,Euro,895.19
A011016,V100,Euro,936.78
A011923,V101,Euro,855.45
A014198,V116,Yen Japones,61354
A001768,V018,Euro,702.38
A013820-1,V119,Euro,1026.29
A013709,V122,Yen Japones,64274
A010511,V095,Euro,947.2
A014261,V122,Yen Japones,61354
A013929,V123,Dolar Americano,954.44
A006294,V075,Dolar Americano,751.5
A001985,V021,Euro,710.93
A013766,V115,Dolar Americano,940.92
A003775,V046,Yen Japones,57111
A013125,V113,Euro,977.65
A003141,V037,Euro,771.25
A004491,V052,Dolar Americano,683.49
A010837,V099,Euro,954.42
A003156,V040,Dolar Americano,638.1
A013796-1,V116,Yen Japones,62263
A013657,V114,Euro,1059.13
A013147,V113,Euro,973.31
A008321,V082,Dolar Americano,732.6
A002483,V024,Euro,754.23
A001385,V011,Dolar Americano,674.34
A005940,V068,Dolar Americano,723.8
A013876,V122,Yen Japones,63334
A005260,V060,Yen Japones,64008
A013522,V119,Euro,1055.89
A009524,V086,Euro,882.76
A013991-1,V129,Yen Japones,61126
A013094,V113,Euro,966.5
A011084,V100,Euro,895.67
A013833,V119,Euro,1026.29
A001434,V013,Dolar Americano,660.25
A014148,V123,Dolar Americano,938.78
A013687,V119,Euro,1049.02
A013868-1,V122,Yen Japones,63334
A012348,V106,Euro,912.85
A011002,V100,Euro,932.38
A015636,V143,Yen Japones,67595
A014208,V116,Yen Japones,61354
A013711,V124,Euro,1049.02
A014101,V115,Dolar Americano,938.78
A013158,V113,Euro,1002.57
A015682,V143,Yen Japones,68408
A005703,V064,Yen Japones,66683
A013241,V123,Dolar Americano,909.5
A010180,V090,Euro,947.26
A013090,V113,Euro,966.5
A011062,V100,Euro,907.32
A014118,V121,Dolar Americano,938.78
A014282,V129,Yen Japones,61354
A014121,V122,Yen Japones,61354
A010196,V093,Euro,947.26
A013702,V120,Dolar Americano,974.2
A012937,V115,Dolar Americano,884.92
A003884,V047,Dolar Americano,640.27
A014160,V128,Euro,1009.94
A013868,V122,Yen Japones,63334
A013076,V113,Euro,954.58
A001436,V013,Dolar Americano,660.25
A013708,V122,Yen Japones,64274
A014303,V129,Yen Japones,59461
A014008,V132,Euro,1014.49
A013350,V121,Dolar Americano,953.4
