"id","clave","tipo_inversion_detectado","categoria_movimiento"
A007899,inversion,loc_1,retiro
A007927,inversion,loc_4,deposito
A008000,inversion,loc_3,deposito
A008051,inversion,loc_4,deposito
A008067,inversion,loc_1,deposito
A008139,inversion,loc_3,deposito
A008178,inversion,loc_4,deposito
A008243,transaccion,monedero,retiro
A008265,necesidad,monedero,deposito
A008266,necesidad,monedero,deposito
A008286,inversion,loc_3,deposito
A008325,inversion,loc_1,retiro
A008340,inversion,loc_4,deposito
A008341,inversion,loc_3,deposito
A008475,inversion,loc_1,deposito
A008614,inversion,loc_1,deposito
A008886,inversion,loc_1,deposito
A008914,inversion,loc_1,deposito
A009064,inversion,loc_1,deposito
A009090,inversion,loc_1,deposito
A009127,inversion,loc_1,deposito
A009136,inversion,loc_1,deposito
A009225,inversion,loc_1,deposito
A009227,inversion,loc_2,retiro
A009230,inversion,loc_1,deposito
A009348,inversion,loc_1,deposito
A009369,inversion,loc_2,retiro
A009372,inversion,loc_1,deposito
A009377,inversion,loc_1,deposito
A009405,inversion,loc_1,deposito
A009418,inversion,loc_1,deposito
A009439,inversion,loc_1,deposito
A009534,inversion,loc_1,deposito
A009567,necesidad,monedero,deposito
A009568,necesidad,monedero,deposito
A009642,inversion,loc_1,deposito
A009643,inversion,loc_1,deposito
A009646,transaccion,monedero,retiro
A009658,inversion,loc_1,deposito
A009725,inversion,loc_2,retiro
A009730,inversion,loc_1,deposito
A010240,inversion,loc_1,retiro
A010350,transaccion,monedero,retiro
A010486,inversion,loc_1,retiro
A010696,inversion,loc_1,retiro
A010815,inversion,loc_1,retiro
A010817,inversion,loc_1,retiro
A010913,inversion,loc_1,retiro
A010958,inversion,loc_1,retiro
A011047,inversion,loc_1,retiro
A011225,inversion,loc_1,retiro
A011255,inversion,loc_1,retiro
A011409,inversion,loc_1,retiro
A011412,transaccion,monedero,retiro
A011441,inversion,loc_1,retiro
A011559,inversion,loc_1,retiro
A011605,inversion,loc_1,retiro
A011924,inversion,loc_1,retiro
A011931,necesidad,monedero,deposito
A011932,necesidad,monedero,deposito
A011948,inversion,loc_4,retiro
A011964,transaccion,monedero,retiro
A011988,inversion,loc_1,deposito
A012030,inversion,loc_3,retiro
A012033,inversion,loc_1,deposito
A012299,inversion,loc_1,retiro
A012339,transaccion,monedero,retiro
A012505,inversion,loc_1,retiro
A012661,inversion,loc_1,retiro
A012662,transaccion,monedero,retiro
A012745,inversion,loc_1,retiro
A012795,transaccion,monedero,retiro
A012815,inversion,loc_1,retiro
A012900,inversion,loc_1,retiro
A012922,inversion,loc_1,retiro
A012929,inversion,loc_1,retiro
A012984,inversion,loc_1,retiro
A013310,inversion,loc_1,retiro
A013359,inversion,loc_1,deposito
A013399,transaccion,monedero,retiro
A013468,inversion,loc_1,retiro
A013603,inversion,loc_1,retiro
A013677,inversion,loc_1,retiro
A014020,inversion,loc_1,retiro
A014097,inversion,loc_1,deposito
A014297,inversion,loc_1,deposito
A014305,transaccion,monedero,retiro
A014380,inversion,loc_1,deposito
A014407,inversion,loc_1,deposito
A014413,necesidad,monedero,deposito
A014414,necesidad,monedero,deposito
A014449,inversion,loc_1,retiro
A014572,inversion,loc_1,retiro
A014604,inversion,loc_1,deposito
A014651,inversion,loc_1,retiro
A014802,inversion,loc_1,retiro
A014803,transaccion,monedero,retiro
A014837,inversion,loc_1,retiro
A014840,inversion,loc_1,retiro
A014931,inversion,loc_1,deposito
A014941,inversion,loc_1,deposito
A014968,inversion,loc_1,retiro
A014974,transaccion,monedero,retiro
A015030,inversion,loc_1,deposito
A015055,inversion,loc_1,retiro
A015093,transaccion,monedero,retiro
A015151,inversion,PLS,deposito
A015155,inversion,loc_1,retiro
A015182,inversion,loc_1,deposito
A015228,transaccion,monedero,retiro
A015269,inversion,loc_1,retiro
A015278,inversion,PLS,deposito
A015303,inversion,loc_1,retiro
A015330,transaccion,monedero,retiro
A015402,inversion,PLS,deposito
A015409,transaccion,monedero,retiro
A015424,inversion,loc_1,deposito
A015425,inversion,loc_1,retiro
A015438,inversion,loc_1,retiro
A015450,transaccion,monedero,retiro
A015479,transaccion,monedero,retiro
A015493,inversion,PLS,deposito
A015494,inversion,loc_1,deposito
A015507,inversion,loc_1,retiro
A015516,inversion,loc_1,deposito
A015534,transaccion,monedero,retiro
A015542,inversion,loc_1,deposito
A015563,inversion,loc_1,retiro
A015572,inversion,PLS,deposito
A015597,inversion,loc_1,retiro
A015607,transaccion,monedero,retiro
A015720,transaccion,monedero,retiro
A015737,inversion,loc_1,deposito
A015738,inversion,PLS,deposito
A015745,inversion,loc_1,retiro
A015775,transaccion,monedero,retiro
A015796,inversion,loc_1,deposito
A015798,transaccion,monedero,retiro
A015816,inversion,PLS,deposito
A015820,inversion,loc_1,retiro
A015823,necesidad,monedero,deposito
A015824,necesidad,monedero,deposito
A015847,transaccion,monedero,retiro
A015858,inversion,loc_1,deposito
A015878,inversion,loc_1,deposito
A015880,inversion,PLS,deposito
A015887,inversion,loc_1,retiro
A015929,inversion,loc_1,deposito
A015956,transaccion,monedero,retiro
A015959,inversion,loc_1,deposito
A015961,inversion,PLS,deposito
A015965,inversion,loc_1,retiro
A016013,inversion,loc_1,deposito
A016041,transaccion,monedero,retiro
A016049,inversion,loc_1,deposito
A016051,inversion,PLS,deposito
A016056,inversion,loc_1,deposito
A016059,inversion,loc_1,retiro
A016122,transaccion,monedero,retiro
A016138,inversion,loc_1,deposito
A016144,inversion,PLS,deposito
A016146,inversion,loc_1,retiro
A016178,transaccion,monedero,retiro
A016209,inversion,loc_1,deposito
A016212,transaccion,monedero,retiro
A016217,inversion,PLS,deposito
A016229,inversion,loc_1,deposito
A016233,inversion,loc_1,deposito
A016235,inversion,loc_1,retiro
A016273,inversion,PLS,deposito
A016276,transaccion,monedero,retiro
A016277,inversion,loc_1,deposito
A016282,inversion,loc_1,retiro
A016285,inversion,loc_1,deposito
A016296,transaccion,monedero,retiro
A016305,inversion,loc_1,deposito
A016315,inversion,loc_1,deposito
A016325,inversion,PLS,deposito
A016336,inversion,loc_1,retiro
A016340,inversion,loc_1,deposito
