"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","periodo_fact_c_diaria","tipo_razon_uso","id_viaje","grupo_viaje","id_presupuesto"
A014928,2024-09-20,NECESIDAD,consumible,consumible_6493,NECESIDAD9,-574.23,202409,regular,,,
A014929,2024-09-20,NECESIDAD,consumible,consumible_7345,NECESIDAD7,-3012.12,202409,regular,,,
A014930,2024-09-20,NECESIDAD,consumible,consumible_8358,NECESIDAD4,-6069.0,202409,regular,,,
A014932,2024-09-22,RECREACION,consumible,consumible_12157,RECREACION3,-7761.0,202409,regular,,,
A014933,2024-09-22,RECREACION,consumible,consumible_12276,RECREACION4,-1416.0,202409,regular,,,
A014934,2024-09-23,NECESIDAD,consumible,consumible_4054,NECESIDAD8,-9742.05,202409,regular,,,
A014935,2024-09-23,NECESIDAD,consumible,consumible_5911,NECESIDAD1,-8589.375,202409,regular,,,
A014936,2024-09-23,NECESIDAD,consumible,consumible_4514,NECESIDAD8,-7145.535,202409,regular,,,
A014937,2024-09-23,LIBRE,consumible,consumible_4973,LIBRE6,-7146.24,202409,regular,,,
A014942,2024-09-27,NECESIDAD,consumible,consumible_5093,NECESIDAD9,-6492.0,202409,regular,,,
A014943,2024-09-27,NECESIDAD,consumible,consumible_7136,NECESIDAD6,-5004.450000000001,202409,regular,,,
A014944,2024-09-27,NECESIDAD,consumible,consumible_4949,NECESIDAD3,-8157.21,202409,regular,,,
A014945,2024-09-27,NECESIDAD,consumible,consumible_5780,NECESIDAD2,-1867.1999999999998,202409,regular,,,
A014946,2024-09-27,NECESIDAD,consumible,consumible_5699,NECESIDAD3,-4877.549999999999,202409,regular,,,
A014947,2024-09-27,NECESIDAD,necesidad,necesidad_1,NECESIDAD8,-5716.5,202409,regular,,,
A014948,2024-09-27,NECESIDAD,necesidad,necesidad_3,NECESIDAD3,-3813.0,202409,regular,,,
A014949,2024-09-27,RECREACION,consumible,consumible_13618,RECREACION2,-1102.98,202409,regular,,,
A014950,2024-09-27,NECESIDAD,consumible,consumible_7123,NECESIDAD9,-9100.5,202409,regular,,,
A014951,2024-09-27,NECESIDAD,consumible,consumible_5579,NECESIDAD3,-655.3050000000001,202409,regular,,,
A014952,2024-09-27,NECESIDAD,consumible,consumible_7623,NECESIDAD9,-2305.005,202409,regular,,,
