"id","fecha","razon_uso","descripcion","lugar_de_uso","monto","id_deuda","periodo_fact_c_diaria","nombre_deudor","periodo_id_deuda"
A003192,2017-12-17,LIBRE,deuda: nombre_8,LIBRE10,4012.5,D032,201712,nombre_8,201712
A003198,2017-12-20,P.VIAJE,deuda: nombre_11,P.VIAJE8,-67333.5,D033,201712,nombre_11,201712
A003203,2017-12-22,LIBRE,deuda: nombre_8,LIBRE1,-7056.0,D000,201712,nombre_8,201604
A003269,2018-01-12,RECREACION,deuda: nombre_10,RECREACION1,-4024.5,D034,201801,nombre_10,201801
A003270,2018-01-12,RECREACION,deuda: nombre_8,RECREACION2,-4024.5,D034,201801,nombre_8,201801
A003271,2018-01-12,RECREACION,deuda: nombre_6,RECREACION3,-4024.5,D034,201801,nombre_6,201801
A003274,2018-01-13,RECREACION,deuda: nombre_7,RECREACION4,3519.0,D034,201801,nombre_7,201801
A003275,2018-01-13,RECREACION,deuda: nombre_11,RECREACION5,3519.0,D034,201801,nombre_11,201801
A003276,2018-01-13,RECREACION,deuda: nombre_9,RECREACION6,3519.0,D034,201801,nombre_9,201801
A003303,2018-01-17,P.VIAJE,deuda: nombre_10,P.VIAJE9,-94891.95000000001,D033,201801,nombre_10,201712
A003322,2018-01-23,P.VIAJE,deuda: nombre_12,P.VIAJE10,67321.5,D033,201801,nombre_12,201712
A003323,2018-01-23,P.VIAJE,deuda: nombre_11,P.VIAJE1,84241.5,D033,201801,nombre_11,201712
A003329,2018-01-28,LIBRE,deuda: nombre_5,LIBRE2,-12695.295,D035,201801,nombre_5,201801
A003330,2018-01-28,LIBRE,deuda: nombre_6,LIBRE3,14094.0,D035,201801,nombre_6,201801
A003371,2018-02-10,RECREACION,deuda: nombre_4,RECREACION7,-9171.0,D225,201802,nombre_4,201802
A003373,2018-02-10,RECREACION,deuda: nombre_5,RECREACION8,7044.0,D225,201802,nombre_5,201802
A003421,2018-02-24,LIBRE,deuda: nombre_11,LIBRE4,-16573.5,D036,201802,nombre_11,201802
A003422,2018-02-24,LIBRE,deuda: nombre_12,LIBRE5,14094.0,D036,201802,nombre_12,201802
A003507,2018-03-24,RECREACION,deuda: nombre_1,RECREACION9,28194.0,D037,201803,nombre_1,201803
A003510,2018-03-24,RECREACION,deuda: nombre_19,RECREACION10,-7902.0,D037,201803,nombre_19,201803
A003511,2018-03-24,RECREACION,deuda: nombre_3,RECREACION1,-2121.0,D037,201803,nombre_3,201803
A003512,2018-03-24,RECREACION,deuda: nombre_3,RECREACION2,-7620.0,D037,201803,nombre_3,201803
