"id","id_creditos","periodo_inicio","periodo_corte","tipo_credito","primer_dia_mes_corte"
A002546,28,201707,201708,gasto,2017-08-01
A002560,28,201707,201708,gasto,2017-08-01
A002566,28,201707,201708,gasto,2017-08-01
A002567,28,201707,201708,gasto,2017-08-01
A002568,28,201707,201708,gasto,2017-08-01
A002569,28,201707,201708,gasto,2017-08-01
A002571,28,201707,201708,gasto,2017-08-01
A002572,28,201707,201708,gasto,2017-08-01
A002594,29,201708,201709,gasto,2017-09-01
A002608,29,201708,201709,gasto,2017-09-01
A002609,29,201708,201709,deposito,2017-09-01
A002635,29,201708,201709,deposito,2017-09-01
A002637,29,201708,201709,deposito,2017-09-01
A002643,29,201708,201709,gasto,2017-09-01
A002644,29,201708,201709,gasto,2017-09-01
A002646,29,201708,201709,gasto,2017-09-01
A002652,30,201709,201710,gasto,2017-10-01
A002653,30,201709,201710,gasto,2017-10-01
A002661,30,201709,201710,gasto,2017-10-01
A002662,30,201709,201710,gasto,2017-10-01
A002663,30,201709,201710,deposito,2017-10-01
A002665,30,201709,201710,gasto,2017-10-01
A002666,30,201709,201710,gasto,2017-10-01
A002667,30,201709,201710,gasto,2017-10-01
A002668,30,201709,201710,gasto,2017-10-01
A002669,30,201709,201710,gasto,2017-10-01
A002670,30,201709,201710,gasto,2017-10-01
A002671,30,201709,201710,gasto,2017-10-01
A002688,30,201709,201710,deposito,2017-10-01
A002697,30,201709,201710,gasto,2017-10-01
A002698,30,201709,201710,gasto,2017-10-01
A002700,30,201709,201710,gasto,2017-10-01
A002701,30,201709,201710,gasto,2017-10-01
A002702,30,201709,201710,gasto,2017-10-01
A002713,30,201709,201710,gasto,2017-10-01
A002714,30,201709,201710,gasto,2017-10-01
A002715,30,201709,201710,gasto,2017-10-01
A002716,30,201709,201710,gasto,2017-10-01
A002717,30,201709,201710,gasto,2017-10-01
A002726,30,201709,201710,gasto,2017-10-01
A002727,30,201709,201710,gasto,2017-10-01
A002728,30,201709,201710,gasto,2017-10-01
A002729,30,201709,201710,deposito,2017-10-01
A002752,30,201709,201710,gasto,2017-10-01
A002768,30,201709,201710,gasto,2017-10-01
A002769,30,201709,201710,deposito,2017-10-01
A002771,30,201709,201710,gasto,2017-10-01
A002774,30,201709,201710,gasto,2017-10-01
A002778,30,201709,201710,gasto,2017-10-01
A002779,30,201709,201710,gasto,2017-10-01
A002791,30,201709,201710,gasto,2017-10-01
A002796,30,201709,201710,gasto,2017-10-01
A002807,30,201709,201710,gasto,2017-10-01
A002845,31,201710,201711,gasto,2017-11-01
A002846,31,201710,201711,deposito,2017-11-01
A002848,31,201710,201711,gasto,2017-11-01
A002850,31,201710,201711,gasto,2017-11-01
A002853,31,201710,201711,gasto,2017-11-01
A002870,31,201710,201711,gasto,2017-11-01
A002906,31,201710,201711,gasto,2017-11-01
A002911,31,201710,201711,gasto,2017-11-01
A002912,31,201710,201711,deposito,2017-11-01
A002918,31,201710,201711,gasto,2017-11-01
A002919,31,201710,201711,deposito,2017-11-01
A002925,31,201710,201711,gasto,2017-11-01
A002929,31,201710,201711,gasto,2017-11-01
A002934,31,201710,201711,gasto,2017-11-01
A002935,31,201710,201711,gasto,2017-11-01
A002954,31,201710,201711,gasto,2017-11-01
A002955,31,201710,201711,deposito,2017-11-01
A002961,31,201710,201711,gasto,2017-11-01
A002962,31,201710,201711,gasto,2017-11-01
A002966,31,201710,201711,gasto,2017-11-01
A002967,31,201710,201711,gasto,2017-11-01
A002973,32,201711,201712,gasto,2017-12-01
A002974,32,201711,201712,gasto,2017-12-01
A002975,32,201711,201712,gasto,2017-12-01
A002976,32,201711,201712,gasto,2017-12-01
A002977,32,201711,201712,gasto,2017-12-01
A002981,32,201711,201712,gasto,2017-12-01
A002982,32,201711,201712,gasto,2017-12-01
A002983,32,201711,201712,gasto,2017-12-01
A002984,32,201711,201712,gasto,2017-12-01
A002985,32,201711,201712,gasto,2017-12-01
A003019,32,201711,201712,deposito,2017-12-01
A003067,32,201711,201712,gasto,2017-12-01
A003080,32,201711,201712,gasto,2017-12-01
A003081,32,201711,201712,gasto,2017-12-01
A003082,32,201711,201712,gasto,2017-12-01
A003083,32,201711,201712,gasto,2017-12-01
A003084,32,201711,201712,gasto,2017-12-01
A003085,32,201711,201712,gasto,2017-12-01
A003086,32,201711,201712,gasto,2017-12-01
A003088,32,201711,201712,gasto,2017-12-01
A003100,32,201711,201712,deposito,2017-12-01
A003102,32,201711,201712,gasto,2017-12-01
A003105,32,201711,201712,gasto,2017-12-01
A003106,32,201711,201712,gasto,2017-12-01
A003107,32,201711,201712,gasto,2017-12-01
A003108,32,201711,201712,gasto,2017-12-01
A003118,32,201711,201712,deposito,2017-12-01
A003136,32,201711,201712,gasto,2017-12-01
A003138,33,201712,201801,gasto,2018-01-01
A003145,33,201712,201801,gasto,2018-01-01
A003149,33,201712,201801,gasto,2018-01-01
A003150,33,201712,201801,gasto,2018-01-01
A003151,33,201712,201801,gasto,2018-01-01
A003156,33,201712,201801,gasto,2018-01-01
A003157,33,201712,201801,gasto,2018-01-01
A003171,33,201712,201801,gasto,2018-01-01
A003177,33,201712,201801,gasto,2018-01-01
A003178,33,201712,201801,gasto,2018-01-01
A003179,33,201712,201801,gasto,2018-01-01
A003180,33,201712,201801,gasto,2018-01-01
A003181,33,201712,201801,gasto,2018-01-01
A003182,33,201712,201801,gasto,2018-01-01
A003183,33,201712,201801,gasto,2018-01-01
A003184,33,201712,201801,gasto,2018-01-01
A003190,33,201712,201801,gasto,2018-01-01
A003191,33,201712,201801,gasto,2018-01-01
A003193,33,201712,201801,gasto,2018-01-01
A003194,33,201712,201801,gasto,2018-01-01
A003195,33,201712,201801,gasto,2018-01-01
A003197,33,201712,201801,gasto,2018-01-01
A003198,33,201712,201801,gasto,2018-01-01
A003207,33,201712,201801,deposito,2018-01-01
A003210,33,201712,201801,gasto,2018-01-01
A003211,33,201712,201801,gasto,2018-01-01
A003212,33,201712,201801,gasto,2018-01-01
A003213,33,201712,201801,gasto,2018-01-01
A003214,33,201712,201801,gasto,2018-01-01
