id,id_viaje,grupo_viaje
A004721,V051,G035
A005094,V057,G039
A013089,V113,G072
A009768,V088,G061
A014138,V123,G075
A013722,V132,G075
A005409,V062,G043
A013135,V113,G072
A013625,V114,G074
A012623,V109,G071
A003884,V047,G031
A014188,V116,G075
A013927,V123,G075
A013486,V115,G075
A011026,V100,G066
A013794,V116,G075
A014158,V128,G075
A013872,V122,G075
A013701,V120,G075
A006269,V074,G050
A013597,V131,G075
A005751,V065,G046
A012592,V108,G070
A005705,V064,G045
A010288,V094,G063
A008722,V083,G056
A007990,V081,G054
A002316,V023,G017
A012617,V109,G071
A004844,V065,G046
A007211,V079,G053
A004991,V054,G038
A004800,V051,G035
A002870,V027,G021
A004023,V048,G032
A014005,V131,G075
A013278,V114,G074
A007983,V081,G054
A004799,V051,G035
A015667,V143,G081
A015591,V142,G080
A014649,V138,G076
A005356,V061,G042
A010178,V090,G062
A008745,V084,G057
A005821,V066,G046
A013719,V131,G075
A005418,V062,G043
A013145,V113,G072
A013852-1,V120,G075
A001694,V017,G014
A014249,V122,G075
A004861,V052,G036
A012629,V109,G071
A006521,V078,G052
A005819,V066,G046
A011025,V100,G066
A011893,V101,G067
A004830,V051,G035
A001423,V013,G011
A000478,V005,G004
A011067,V100,G066
A009010,V085,G058
A013836,V119,G075
A006514,V078,G052
A015897,V144,G082
A001998,V021,G016
A013642-1,V114,G074
A007205,V079,G053
A003926,V047,G031
A011027,V100,G066
A005562,V063,G044
A003913,V047,G031
A013865,V121,G075
A003671,V045,G029
A012343,V105,G069
A011043,V100,G066
A003730,V047,G031
A013955,V124,G075
A000213,V002,G002
A013578,V125,G075
A013609,V122,G075
A003391,V043,G027
A010558,V098,G064
A002674,V028,G021
A000562,V006,G005
A013908,V122,G075
A013073,V112,G072
A006299,V075,G050
A002325,V023,G017
A011979,V102,G067
A006526,V078,G052
A012359,V107,G069
A003081,V036,G022
A004854,V052,G036
A004514,V050,G034
A014026,V133,G075
A010186,V091,G062
A001952,V020,G016
A010423,V096,G064
A008632,V084,G057
A005021,V055,G038
A014017,V132,G075
A013849,V120,G075
A013550,V120,G075
A011996,V103,G067
A013868,V122,G075
A002052,V023,G017
A001452,V013,G011
A005757,V065,G046
A013781-1,V116,G075
A014024-1,V132,G075
A015595,V142,G080
A013350,V121,G075
A007191,V088,G061
A003651,V045,G029
A013946,V123,G075
A011877,V101,G067
A014171,V132,G075
A013608,V122,G075
A013085,V113,G072
A003899,V047,G031
A013156,V113,G072
A001424,V013,G011
A004778,V061,G042
A013888-1,V122,G075
A009496,V086,G059
A004920,V051,G035
A003647,V045,G029
A007996,V081,G054
A015642,V143,G081
A013693,V124,G075
A015907,V145,G082
A009644,V087,G060
A007981,V081,G054
A003022,V032,G022
A002806,V026,G020
A013889,V122,G075
A004714-2,V051,G035
A013992,V129,G075
A013591,V129,G075
A002302,V023,G017
A013776,V116,G075
A004865,V052,G036
A007228,V080,G053
A002896,V028,G021
A006287,V075,G050
A011970,V102,G067
A013019,V110,G072
A009492,V086,G059
A010390,V096,G064
A013702,V120,G075
A010530,V097,G064
A006275,V074,G050
A008324,V082,G055
A014018,V132,G075
A013992-1,V129,G075
A013695,V116,G075
A005263,V060,G041
A013644,V114,G074
A014084,V133,G075
A003045,V034,G022
A002519,V027,G021
A014274,V123,G075
A013715,V125,G075
A013215,V122,G075
A005756,V065,G046
A015227,V142,G080
A006192,V078,G052
A013932,V123,G075
A014640,V138,G076
A013825-1,V119,G075
A010526,V096,G064
A001393,V011,G010
A008744,V084,G057
A000612,V007,G006
A005028,V055,G038
A005805,V065,G046
A013986,V128,G075
A014280,V128,G075
A004863,V052,G036
A003029,V033,G022
A001981,V021,G016
A014160,V128,G075
A014234,V120,G075
A013638,V114,G074
A013837-1,V119,G075
A011061,V100,G066
A005696,V064,G045
A014750,V139,G077
A011900,V101,G067
A005260,V060,G041
A001957,V020,G016
A005799,V065,G046
A004973,V053,G037
A005844,V067,G046
A000475,V005,G004
A006559,V078,G052
A002790,V026,G020
A010173,V089,G062
A000490,V005,G004
A005354,V062,G043
A006285,V074,G050
A005335,V061,G042
A003082,V036,G022
A008312,V082,G055
A013106,V113,G072
A005015,V055,G038
A013210,V119,G075
A013963,V125,G075
A014720,V139,G077
A007992,V081,G054
A003653,V045,G029
A009662,V087,G060
A003062,V034,G022
A001441,V013,G011
A008313,V082,G055
A001078,V010,G009
A013848-1,V120,G075
A013569,V124,G075
A009454,V086,G059
A015663,V143,G081
A009464,V086,G059
A006513,V078,G052
A001928,V019,G016
A008986,V085,G058
A005258,V060,G041
A003401,V043,G027
A005947,V070,G047
A014223,V119,G075
A005594,V064,G045
A013947,V123,G075
A012627,V109,G071
A004809,V051,G035
A004887,V052,G036
A002988,V031,G022
A010532,V096,G064
A004988,V054,G038
A004870,V052,G036
A007226,V080,G053
A005753,V065,G046
A000493,V005,G004
A014166,V131,G075
A006001-1,V070,G047
A013699,V119,G075
A013888,V122,G075
A004798,V051,G035
A014189,V116,G075
A002885,V027,G021
A011882,V101,G067
A006288,V075,G050
A008715,V083,G056
A014487,V139,G077
A004969,V053,G037
A001977,V020,G016
A000039,V005,G004
A001430,V013,G011
A009778,V088,G061
A005849,V067,G046
A002878,V027,G021
A010188,V092,G062
A011952,V102,G067
A009493,V086,G059
A009459,V086,G059
A009661,V087,G060
A014116,V121,G075
A011023,V100,G066
A013717,V125,G075
A012636,V109,G071
A009002,V085,G058
A005790,V065,G046
A005320,V061,G042
A002794,V026,G020
A002580,V025,G019
A000829,V008,G007
A005954,V070,G047
A014221,V119,G075
A003046,V034,G022
A012470,V114,G074
A007208,V079,G053
A013919-1,V123,G075
A013822-1,V119,G075
A014155,V126,G075
A002901,V028,G021
A009523,V086,G059
A011053,V100,G066
A013999,V131,G075
A013839-1,V119,G075
A005088,V056,G039
A002887,V027,G021
A003751,V046,G030
A011024,V100,G066
A010170,V089,G062
A006551,V078,G052
A002335,V023,G017
A014163,V131,G075
A013242,V123,G075
A014979,V140,G078
A013153,V113,G072
A013160,V113,G072
A003044,V034,G022
A011959,V102,G067
A007204,V079,G053
A006259,V075,G050
A009809,V088,G061
A003678,V045,G029
A004866,V052,G036
A001349,V011,G010
A010313,V094,G063
A002784,V026,G020
A011892,V101,G067
A006079,V071,G048
A009495,V086,G059
A002855,V027,G021
A010547,V097,G064
A002989,V031,G022
A001776,V018,G015
A006325,V078,G052
A013910,V122,G075
A002015,V021,G016
