"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","metodo_pago","monto","id_creditos","periodo_inicio","periodo_corte","primer_dia_mes_corte","tipo_credito"
A000707,2016-02-13,NECESIDAD,necesidad,necesidad_11,NECESIDAD8,credito_3,7467.0,11,201602,201603,2016-03-01,deposito
A000710,2016-02-14,HOGAR,hogar,hogar1775,HOGAR9,credito_3,-70506.0,11,201602,201603,2016-03-01,gasto
A000728,2016-02-22,DINERO,transaccion,transaccion_17,DINERO8,credito_3,70494.0,11,201602,201603,2016-03-01,deposito
A000730,2016-02-26,LIBRE,gustos,gustos_567,LIBRE2,credito_3,-8425.815,11,201602,201603,2016-03-01,gasto
A000731,2016-02-26,LIBRE,gustos,gustos_568,LIBRE1,credito_3,-9713.849999999999,11,201602,201603,2016-03-01,gasto
A000749,2016-02-29,P.GUSTOS,gustos,gustos_4807,P.GUSTOS7,credito_2,-492730.5,11,201602,201603,2016-03-01,gasto
A000750,2016-02-29,P.GUSTOS,gustos,gustos_4822,P.GUSTOS2,credito_2,-27783.0,11,201602,201603,2016-03-01,gasto
A000756,2016-03-04,DINERO,transaccion,transaccion_6,DINERO10,credito_3,18121.665,11,201602,201603,2016-03-01,deposito
A000758,2016-03-04,DINERO,transaccion,"7.transaccion_7",DINERO5,credito_3,8806.5,11,201602,201603,2016-03-01,deposito
A000763,2016-03-07,DINERO,transaccion,transaccion_8,DINERO2,credito_2,520495.5,11,201602,201603,2016-03-01,deposito
A000765,2016-03-07,LIBRE,gustos,gustos_811,LIBRE8,credito_3,-2050.5,11,201602,201603,2016-03-01,gasto
A000767,2016-03-08,LIBRE,deuda,deuda: nombre_7,LIBRE4,credito_3,-11145.0,11,201602,201603,2016-03-01,gasto
A000768,2016-03-08,LIBRE,gustos,"3.gustos_19",LIBRE6,credito_3,-14458.5,11,201602,201603,2016-03-01,gasto
A000786,2016-03-15,NECESIDAD,necesidad,necesidad_13,NECESIDAD10,credito_3,-7479.0,12,201603,201604,2016-04-01,gasto
A000787,2016-03-15,NECESIDAD,necesidad,necesidad_14,NECESIDAD1,credito_3,7467.0,12,201603,201604,2016-04-01,deposito
A000789,2016-03-15,DINERO,transaccion,transaccion_16,DINERO4,credito_3,11133.0,12,201603,201604,2016-04-01,deposito
A000791,2016-03-15,DINERO,transaccion,transaccion_18,DINERO6,credito_3,14446.5,12,201603,201604,2016-04-01,deposito
A000793,2016-03-15,DINERO,transaccion,transaccion_20,DINERO8,credito_3,2038.5,12,201603,201604,2016-04-01,deposito
A000857,2016-04-07,DINERO,transaccion,"8.transaccion_8",DINERO4,credito_3,8806.5,12,201603,201604,2016-04-01,deposito
A000927,2016-04-25,NECESIDAD,necesidad,necesidad_6,NECESIDAD3,credito_3,-7479.0,13,201604,201605,2016-05-01,gasto
