"id","fecha","razon_uso","clave","descripcion","lugar_de_uso","monto","id_viaje","grupo_viaje","periodo_fact_c_diaria"
A011918,2023-05-28,P.VIAJE,deuda,deuda: nombre_19,P.VIAJE10,49344.0,V101,G067,202305
A010513,2022-10-01,P.VIAJE,consumible,consumible_8269,P.VIAJE1,-25689.15,V095,G064,202210
A000461,2015-11-19,P.VIAJE,necesidad,necesidad_16,P.VIAJE1,-21156.0,V005,G004,201511
A013745,2024-04-06,P.VIAJE,necesidad,necesidad_20,P.VIAJE6,-243.585,V119,G075,202404
A007213,2020-09-18,P.VIAJE,regalo,regalo: nombre_13,P.VIAJE8,-6633.0,V079,G053,202009
A002322,2017-06-11,P.VIAJE,consumible,consumible_10452,P.VIAJE8,-6280.5,V023,G017,201706
A013694,2024-04-02,P.VIAJE,deuda,deuda: nombre_15,P.VIAJE6,22400.31,V126,G075,202404
A005812,2019-10-02,P.VIAJE,consumible,consumible_9331,P.VIAJE9,-852.0,V065,G046,201910
A011953,2023-06-02,P.VIAJE,regalo,regalo: nombre_15,P.VIAJE1,-5364.0,V102,G067,202306
A009676,2022-06-26,P.VIAJE,consumible,consumible_8284,P.VIAJE6,-3460.5,V087,G060,202206
A011903,2023-05-24,P.VIAJE,gustos,"2.gustos_14",P.VIAJE3,-169206.0,V104,G068,202305
A014120,2024-05-03,P.VIAJE,deuda,deuda: nombre_13,P.VIAJE7,2557.38,V122,G075,202405
A006266,2019-12-26,P.VIAJE,transporte,transporte_4,P.VIAJE2,-24681.0,V074,G050,201912
A002979,2017-11-10,P.VIAJE,deuda,deuda_6153,P.VIAJE7,-2121.0,V030,G022,201711
A002044,2017-03-27,P.VIAJE,evento,evento_5848,P.VIAJE2,-102248.625,V026,G020,201703
A015628,2025-04-09,P.VIAJE,regalo,regalo: nombre_15,P.VIAJE8,-95498.25,V143,G081,202504
A013758,2024-04-07,P.VIAJE,gustos,gustos_5300,P.VIAJE10,-59860.5,V115,G075,202404
A000211,2015-08-08,P.VIAJE,transporte,transporte_19,P.VIAJE4,-8748.0,V002,G002,201508
A015457,2025-02-17,P.VIAJE,deuda,deuda: nombre_16,P.VIAJE2,-95392.5,V143,G081,202502
A013123,2023-12-26,P.VIAJE,recreacion,recreacion: nombre_20,P.VIAJE7,-2473.5,V113,G072,202312
A001934,2017-03-12,P.VIAJE,recreacion,recreacion_17,P.VIAJE2,-4588.5,V019,G016,201703
A014644,2024-07-27,P.VIAJE,hogar,hogar_5066,P.VIAJE4,-7690.5,V138,G076,202407
A003146,2017-12-10,P.VIAJE,necesidad,necesidad_14,P.VIAJE5,-358.5,V038,G024,201712
A003075,2017-11-27,P.VIAJE,recreacion,recreacion_18,P.VIAJE2,-21156.0,V036,G022,201711
A013819-1,2024-04-12,P.VIAJE,deuda,deuda: nombre_6,P.VIAJE3,-798.0675,V119,G075,202404
A002778,2017-10-05,P.VIAJE,transporte,transporte_6,P.VIAJE7,-4712.58,V026,G020,201710
A013960-1,2024-04-21,P.VIAJE,deuda,deuda: nombre_19,P.VIAJE7,-6502.9275,V125,G075,202404
A011055,2022-12-29,P.VIAJE,hogar,hogar_5080,P.VIAJE10,-27988.86,V100,G066,202212
A014620,2024-07-19,P.VIAJE,regalo,regalo: nombre_3,P.VIAJE9,-14811.0,V135,G076,202407
A003405,2018-02-18,P.VIAJE,transporte,transporte_8,P.VIAJE8,-3009.3,V043,G027,201802
A005825,2019-10-03,P.VIAJE,regalo,regalo: nombre_20,P.VIAJE8,-19041.0,V066,G046,201910
A003013,2017-11-16,P.VIAJE,consumible,consumible_9529,P.VIAJE1,-5624.1449999999995,V031,G022,201711
A013155,2024-01-07,P.VIAJE,recreacion,recreacion_4,P.VIAJE6,-1768.5,V113,G072,202401
A009788,2022-07-22,P.VIAJE,consumible,consumible_9526,P.VIAJE4,-9805.5,V088,G061,202207
A004911,2019-03-26,P.VIAJE,transporte,transporte: nombre_4,P.VIAJE2,11344.5,V052,G036,201903
A002344,2017-06-12,P.VIAJE,gustos,"7.gustos_15",P.VIAJE1,-63456.0,V023,G017,201706
A002300,2017-06-10,P.VIAJE,consumible,consumible_11704,P.VIAJE6,-8677.5,V023,G017,201706
A012618,2023-09-23,P.VIAJE,consumible,consumible_10855,P.VIAJE5,-2085.75,V109,G071,202309
A011052,2022-12-28,P.VIAJE,recreacion,recreacion_7,P.VIAJE6,-13119.0,V100,G066,202212
A001431,2016-09-24,P.VIAJE,necesidad,necesidad_20,P.VIAJE7,-16222.41,V013,G011,201609
A015680,2025-04-16,P.VIAJE,evento,evento_5624,P.VIAJE6,-10581.0,V143,G081,202504
A013636,2024-03-26,P.VIAJE,hogar,hogar: nombre_18,P.VIAJE5,-20789.4,V114,G074,202403
A002811,2017-10-08,P.VIAJE,recreacion,recreacion_18,P.VIAJE5,-8113.5,V026,G020,201710
A000463,2015-11-20,P.VIAJE,transporte,transporte_17,P.VIAJE1,-711.0,V005,G004,201511
A013821,2024-04-12,P.VIAJE,deuda,deuda: nombre_12,P.VIAJE5,-2350.125,V119,G075,202404
